objectid,filename,title,creator,date,date_is_approximate?,description,subject,location,latitude,longitude,source,finding_aid,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
raney01,pg111_1_1-1.jpg,Neale Stadium,Franklin Raney,1939,,"Fields with Neale Stadium (upper Right) and Memorial Gym (Center left) unknown white building (lower right), and a Tennis court (center)",stadiums; arboretums; campuses,University of Idaho Campus,46.727682,117.014936,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-1,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-001.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-001_th.jpg
raney02,pg111_1_1-2.jpg,Wood Conversion Lab,Franklin Raney,1939-06,,Looking northwest at the Wood Conversion lab (Center) from a field across the street. A man is standing in front of the door.,educational centers (buildings),University of Idaho Campus,46.728887,-117.01173,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-2,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-002.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-002_th.jpg
raney03,pg111_1_1-3.jpg,Smoke stack,Franklin Raney,1940,,Looking straight up at the U of I power plant smoke stack,power plant buildings (utilities buildings),University of Idaho Campus,46.729991,117.01162,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-3,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-003.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-003_th.jpg
raney04,pg111_1_1-4.jpg,Site of forestry school nursery,Franklin Raney,1939-06,,Fields with residential area and water tank in background,campuses,University of Idaho Campus,46.729516,-117.009971,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-4,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-004.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-004_th.jpg
raney05,pg111_1_1-5.jpg,Looking north at Womens Gym and Morrill Hall,Franklin Raney,1940,yes,"From Aboretum: Administration building (center right), Art & Architecture N. (center), Life Sciences South (center 2nd from right), Morrill Hall (center above Art & Architecture)",arboretums; campuses; educational centers (buildings),University of Idaho Campus,46.724706,-117.014082,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-5,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-005.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-005_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-005_th.jpg
raney06,pg111_1_1-6.jpg,Wood Conversion Lab,Franklin Raney,1932-09,,"Wood Conversion Lab, bare ground on either side",educational centers (buildings),University of Idaho Campus,46.728887,-117.01173,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-6,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-006.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-006_th.jpg
raney07,pg111_1_1-7.jpg,Looking SW across Mclean Field toward Arboretum,Franklin Raney,1940,yes,"Field with densley planted hillsides with a variety of trees, possibly arboretum nursery",stadiums; arboretums; campuses,University of Idaho Campus,46.725486,-117.013243,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-7,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-007.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-007_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-007_th.jpg
raney08,pg111_1_1-8.jpg,Wood Conversion Lab,Franklin Raney,1932-05-07,,"Wood conversion lab (Center right), houses and fields in background. There is a man on a tree or telephone pole stringing lines, maybe for electricity? Ergr (?) Day written on back",educational centers (buildings),University of Idaho Campus,46.728887,-117.01173,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-8,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-008.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-008_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-008_th.jpg
raney09,pg111_1_1-9.jpg,University of Idaho Administration Building,Franklin Raney,1940,yes,Administration building behind some snow covered trees,educational centers (buildings); snow (precipitation),University of Idaho Campus,46.72549,-117.010974,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-9,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-009.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-009_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-009_th.jpg
raney10,pg111_1_1-10.jpg,University of Idaho Power Plant,Franklin Raney,1940,,"Power Plant (Center), dormitory and field in foreground, residnetial areas, water tank, and trees in the background",power plant buildings (utilities buildings); campuses,University of Idaho Campus,46.729991,117.01162,"PG 111, Franklin Raney photographs, Special Collections and Archives, University of Idaho Library",https://archiveswest.orbiscascade.org/ark:80444/xv118347,pg111_1_1-10,Image;StillImage,image/jpeg,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/digital/objects/raney/pg111_1_1-010.jpg,https://www.lib.uidaho.edu/digital/objects/raney/small/pg111_1_1-010_sm.jpg,https://www.lib.uidaho.edu/digital/objects/raney/thumbs/pg111_1_1-010_th.jpg
